All Features,all-cause_PhenoAge,all-cause_BioAge,all-cause_Top20,all-cause_CBC_CMP_LP_WBC,all-cause_Ques_Top20,neoplasms_Top20,circulatory_Top20
4096-0.0_1,Age,Age,Age,30010-0.0,Age,Age,Age
6144-0.0_4,31-0.0,31-0.0,31-0.0,30070-0.0,31-0.0,1249-0.0,31-0.0
6144-0.0_1,30600-0.0,30600-0.0,30720-0.0,30040-0.0,2188-0.0,20161-0.0,30720-0.0
6144-0.0_2,30700-0.0,30610-0.0,2188-0.0,30000-0.0,48-0.0,40008-0.0_1,137-0.0
2050-0.0,30740-0.0,30700-0.0,1249-0.0,30080-0.0,20161-0.0,30010-0.0,1249-0.0
6145-0.0_3,30710-0.0,30710-0.0,40008-0.0_1,30100-0.0,4194-0.0,50-0.0,93-0.0
6145-0.0_2,30180-0.0,30750-0.0,30070-0.0,30020-0.0,2178-0.0,30720-0.0,6141-0.0_1
6145-0.0_1,30040-0.0,93-0.0,30180-0.0,30050-0.0,40008-0.0_1,31-0.0,738-0.0
6145-0.0_-7,30070-0.0,30690-0.0,30700-0.0,30060-0.0,1249-0.0,30070-0.0,30750-0.0
6145-0.0_6,30610-0.0,,30620-0.0,30030-0.0,137-0.0,2453-0.0,2188-0.0
6145-0.0_4,30000-0.0,,20161-0.0,30670-0.0,93-0.0,2188-0.0,30630-0.0
4100-0.0,,,30830-0.0,30700-0.0,816-0.0,30710-0.0,2178-0.0
4101-0.0,,,2178-0.0,30740-0.0,2453-0.0,30180-0.0,48-0.0
6146-0.0_1,,,3064-0.0,30680-0.0,1835-0.0,3064-0.0,30830-0.0
6146-0.0_3,,,738-0.0,30600-0.0,738-0.0,30500-0.0,30070-0.0
4103-0.0,,,2453-0.0,30860-0.0,6145-0.0_1,48-0.0,30500-0.0
4104-0.0,,,95-0.0,30610-0.0,49-0.0,738-0.0,30180-0.0
6147-0.0_2,,,48-0.0,30620-0.0,2492-0.0,20007-0.0,30700-0.0
6147-0.0_6,,,30630-0.0,30650-0.0,924-0.0,30830-0.0,30880-0.0
6147-0.0_4,,,30730-0.0,30840-0.0,728-0.0,30110-0.0,30850-0.0
6147-0.0_5,,,,30690-0.0,,,
6147-0.0_7,,,,30870-0.0,,,
6147-0.0_1,,,,30760-0.0,,,
2060-0.0,,,,30780-0.0,,,
6148-0.0_4,,,,30140-0.0,,,
6148-0.0_5,,,,30200-0.0,,,
6148-0.0_1,,,,30120-0.0,,,
6148-0.0_2,,,,30180-0.0,,,
6148-0.0_6,,,,30130-0.0,,,
6149-0.0_5,,,,30190-0.0,,,
6149-0.0_3,,,,30150-0.0,,,
6149-0.0_1,,,,30210-0.0,,,
6149-0.0_6,,,,30160-0.0,,,
6149-0.0_2,,,,30220-0.0,,,
6150-0.0_3,,,,Age,,,
6150-0.0_1,,,,31-0.0,,,
6151-0.0_5,,,,,,,
6151-0.0_3,,,,,,,
6151-0.0_4,,,,,,,
6151-0.0_7,,,,,,,
6151-0.0_2,,,,,,,
6152-0.0_5,,,,,,,
6152-0.0_6,,,,,,,
6152-0.0_-7,,,,,,,
6152-0.0_7,,,,,,,
6154-0.0_6,,,,,,,
6154-0.0_4,,,,,,,
6155-0.0_5,,,,,,,
6155-0.0_6,,,,,,,
6155-0.0_4,,,,,,,
6155-0.0_1,,,,,,,
6155-0.0_2,,,,,,,
6155-0.0_7,,,,,,,
6156-0.0_14,,,,,,,
6156-0.0_13,,,,,,,
6156-0.0_11,,,,,,,
6156-0.0_12,,,,,,,
6156-0.0_15,,,,,,,
6156-0.0_-7,,,,,,,
6157-0.0_-7,,,,,,,
6157-0.0_3,,,,,,,
6157-0.0_1,,,,,,,
6157-0.0_4,,,,,,,
6157-0.0_2,,,,,,,
2070-0.0,,,,,,,
4119-0.0,,,,,,,
4120-0.0,,,,,,,
6160-0.0_1,,,,,,,
6160-0.0_5,,,,,,,
6160-0.0_4,,,,,,,
6160-0.0_3,,,,,,,
4122-0.0,,,,,,,
31-0.0,,,,,,,
2080-0.0,,,,,,,
6179-0.0_6,,,,,,,
6179-0.0_3,,,,,,,
6179-0.0_4,,,,,,,
6179-0.0_1,,,,,,,
6179-0.0_2,,,,,,,
6183-0.0,,,,,,,
2090-0.0,,,,,,,
46-0.0,,,,,,,
47-0.0,,,,,,,
48-0.0,,,,,,,
49-0.0,,,,,,,
50-0.0,,,,,,,
2100-0.0,,,,,,,
6194-0.0,,,,,,,
2110-0.0,,,,,,,
30790-0.0,,,,,,,
6218-0.0,,,,,,,
6219-0.0,,,,,,,
6220-0.0,,,,,,,
6221-0.0,,,,,,,
78-0.0,,,,,,,
6222-0.0,,,,,,,
2129-0.0_1,,,,,,,
2139-0.0,,,,,,,
93-0.0,,,,,,,
94-0.0,,,,,,,
95-0.0,,,,,,,
4194-0.0,,,,,,,
4195-0.0,,,,,,,
4196-0.0,,,,,,,
4198-0.0,,,,,,,
4199-0.0,,,,,,,
4200-0.0,,,,,,,
4204-0.0,,,,,,,
2159-0.0,,,,,,,
2178-0.0,,,,,,,
134-0.0,,,,,,,
135-0.0,,,,,,,
136-0.0,,,,,,,
137-0.0,,,,,,,
2188-0.0,,,,,,,
2207-0.0,,,,,,,
2217-0.0,,,,,,,
6141-0.0_5,,,,,,,
6141-0.0_2,,,,,,,
6141-0.0_1,,,,,,,
6141-0.0_4,,,,,,,
6141-0.0_6,,,,,,,
6141-0.0_8,,,,,,,
6141-0.0_3,,,,,,,
6141-0.0_7,,,,,,,
2227-0.0,,,,,,,
189-0.0,,,,,,,
2237-0.0,,,,,,,
2247-0.0_99,,,,,,,
2257-0.0,,,,,,,
2267-0.0,,,,,,,
2277-0.0,,,,,,,
2296-0.0,,,,,,,
2306-0.0_2,,,,,,,
6158-0.0_4,,,,,,,
6158-0.0_2,,,,,,,
6158-0.0_3,,,,,,,
6158-0.0_1,,,,,,,
6158-0.0_-7,,,,,,,
2316-0.0,,,,,,,
6159-0.0_7,,,,,,,
6159-0.0_2,,,,,,,
6159-0.0_6,,,,,,,
6159-0.0_8,,,,,,,
6162-0.0_1,,,,,,,
6162-0.0_4,,,,,,,
6162-0.0_-7,,,,,,,
2335-0.0,,,,,,,
6164-0.0_5,,,,,,,
6164-0.0_3,,,,,,,
6164-0.0_-7,,,,,,,
2345-0.0,,,,,,,
2355-0.0,,,,,,,
4407-0.0,,,,,,,
4418-0.0,,,,,,,
4429-0.0,,,,,,,
4440-0.0,,,,,,,
4451-0.0,,,,,,,
4462-0.0,,,,,,,
2443-0.0,,,,,,,
2453-0.0,,,,,,,
4501-0.0,,,,,,,
2463-0.0,,,,,,,
2473-0.0,,,,,,,
2492-0.0,,,,,,,
4598-0.0,,,,,,,
4609-0.0,,,,,,,
21000-0.0_1,,,,,,,
21000-0.0_5,,,,,,,
21000-0.0_4003,,,,,,,
21000-0.0_3003,,,,,,,
21000-0.0_2002,,,,,,,
21000-0.0_2,,,,,,,
21000-0.0_1002,,,,,,,
21000-0.0_3,,,,,,,
21000-0.0_6,,,,,,,
21000-0.0_4001,,,,,,,
21000-0.0_3004,,,,,,,
21000-0.0_3002,,,,,,,
21000-0.0_2001,,,,,,,
21000-0.0_3001,,,,,,,
21000-0.0_2003,,,,,,,
21000-0.0_4,,,,,,,
21000-0.0_4002,,,,,,,
21000-0.0_2004,,,,,,,
21001-0.0,,,,,,,
4620-0.0,,,,,,,
4631-0.0,,,,,,,
21021-0.0,,,,,,,
4642-0.0,,,,,,,
4653-0.0,,,,,,,
2624-0.0,,,,,,,
4674-0.0,,,,,,,
2634-0.0,,,,,,,
4689-0.0,,,,,,,
2644-0.0,,,,,,,
4700-0.0,,,,,,,
2654-0.0_2,,,,,,,
2654-0.0_7,,,,,,,
2654-0.0_5,,,,,,,
2654-0.0_8,,,,,,,
2654-0.0_9,,,,,,,
2654-0.0_6,,,,,,,
2664-0.0_1,,,,,,,
2664-0.0_2,,,,,,,
2664-0.0_5,,,,,,,
2664-0.0_4,,,,,,,
4717-0.0,,,,,,,
4728-0.0,,,,,,,
670-0.0_1,,,,,,,
670-0.0_5,,,,,,,
670-0.0_3,,,,,,,
680-0.0_3,,,,,,,
680-0.0_1,,,,,,,
680-0.0_4,,,,,,,
680-0.0_5,,,,,,,
680-0.0_6,,,,,,,
699-0.0,,,,,,,
4803-0.0,,,,,,,
709-0.0,,,,,,,
4814-0.0_13,,,,,,,
4814-0.0_4,,,,,,,
4814-0.0_11,,,,,,,
4814-0.0_12,,,,,,,
728-0.0,,,,,,,
4825-0.0_11,,,,,,,
